title,href,deadline,output
"Spotlight on Humanities in Higher Education","http://127.0.0.1:5500/program/spotlight-humanities-higher-education","10/1/24","Curriculum Project, Professional Development for Teachers or Faculty"
"Institutes for Higher Education Faculty","http://127.0.0.1:5500/grants/education/institutes-higher-education-faculty","2/12/25","Curriculum Project, Professional Development for Teachers or Faculty, Workshop"
"Institutes for K-12 Educators","http://127.0.0.1:5500/grants/education/institutes-k-12-educators","2/12/25","Curriculum Project, Professional Development for Teachers or Faculty, Workshop"
"Landmarks of American History and Culture for K-12 Educators","http://127.0.0.1:5500/grants/education/landmarks/k-12-educators","2/12/25","Curriculum Project, Professional Development for Teachers or Faculty, Workshop"
"Landmarks of American History and Culture for Higher Education","http://127.0.0.1:5500/grants/education/landmarks/highered","2/12/25","Curriculum Project, Professional Development for Teachers or Faculty, Workshop"
"Humanities Initiatives at Historically Black Colleges and Universities","http://127.0.0.1:5500/grants/education/humanities-initiatives-historically-black-colleges-and-universities","5/6/25","Curriculum Project, Professional Development for Teachers or Faculty"
"Humanities Initiatives at Hispanic-Serving Institutions","http://127.0.0.1:5500/grants/education/humanities-initiatives-hispanic-serving-institutions","5/6/25","Curriculum Project, Professional Development for Teachers or Faculty"
"Humanities Initiatives at Community Colleges","http://127.0.0.1:5500/grants/education/humanities-initiatives-community-colleges","5/6/25","Curriculum Project, Professional Development for Teachers or Faculty"
"Humanities Initiatives at Tribal Colleges and Universities","http://127.0.0.1:5500/grants/education/humanities-initiatives-tribal-colleges-and-universities","5/6/25","Curriculum Project, Professional Development for Teachers or Faculty"
"Humanities Initiatives at Colleges and Universities","http://127.0.0.1:5500/program/humanities-initiatives-colleges-and-universities","5/6/25","Curriculum Project, Professional Development for Teachers or Faculty"
"Humanities Connections","http://127.0.0.1:5500/grants/education/humanities-connections","9/4/25","Curriculum Project"
"Dialogues on the Experience of War","http://127.0.0.1:5500/grants/education/dialogues-the-experience-war","9/16/25","Professional Development for Teachers or Faculty, Program for Veterans, Public Program for Veterans, Program for Veteran Community"
