title,href,deadline,output,,,,,,
Dynamic Language Infrastructure – Documenting Endangered Languages Senior Research Grants,http://127.0.0.1:5500/grants/preservation/documenting-endangered-languages,9/16/24, Dictionary,Encyclopedia,or Other Reference Resource,Curriculum Project,Fellowship,Language Learning Resource,
Archaeological and Ethnographic Field Research,http://127.0.0.1:5500/program/archaeological-and-ethnographic-field-research,9/25/24, Report,Archaeological or Ethnographic Research,,,,,
Spotlight on Humanities in Higher Education,http://127.0.0.1:5500/program/spotlight-humanities-higher-education,10/1/24, Curriculum Project,Professional Development for Teachers or Faculty,,,,,
Fellowships Open Book Program,http://127.0.0.1:5500/grants/odh/FOBP,11/13/24, Fellowship,,,,,,
Collaborative Research,http://127.0.0.1:5500/grants/research/collaborative-research-grants,11/20/24, Digital Infrastructure (Software,Website,etc.),,,,
Scholarly Editions and Translations,http://127.0.0.1:5500/grants/research/scholarly-editions-and-translations-grants,12/4/24,,,,,,,
Humanities Research Centers on Artificial Intelligence,http://127.0.0.1:5500/program/humanities-research-centers-artificial-intelligence,12/11/24, Curriculum Project,Digital Infrastructure (Software,Website,etc.),Conference,Workshop,Other Scholarly Resource
Public Humanities Projects,http://127.0.0.1:5500/grants/public/public-humanities-projects,1/8/25, Exhibitions,,,,,,
Media Projects,http://127.0.0.1:5500/program/media-projects,1/8/25, Digital Project for the Public (Game,App,etc.),Media Project (Film,Podcast,etc.),
Digital Humanities Advancement Grants,http://127.0.0.1:5500/grants/odh/digital-humanities-advancement-grants,1/9/25, Report,Curriculum Project,Digital Infrastructure (Software,Website,etc.),Workshop,
National Digital Newspaper Program,http://127.0.0.1:5500/grants/preservation/national-digital-newspaper-program,1/10/25, Digitization Project,,,,,,
